Judul Berita,Link Berita,Link Gambar
"UPDATE Formasi CPNS-PPPK IKN, Kemenag, Kemenhub, Kemenkes, Kemendikbud, dan Bawaslu 2024",http://www.kompas.com/tren/read/2024/04/19/160000265/update-formasi-cpns-pppk-ikn-kemenag-kemenhub-kemenkes-kemendikbud-dan,https://asset.kompas.com/crops/TP3MGdB0cYIafLT-bYz-tq3WrgE=/83x0:926x562/490x326/data/photo/2023/09/11/64fe8285acaaa.jpg
Kemenag Beri Kesempatan Lulusan Ma'had Aly Ikut Seleksi CPNS 2024,http://money.kompas.com/read/2024/04/04/222105126/kemenag-beri-kesempatan-lulusan-mahad-aly-ikut-seleksi-cpns-2024,https://asset.kompas.com/crops/H5WK88HstdokVlIpb3TvHYoCnDc=/0x0:1000x667/230x153/data/photo/2019/11/29/5de0794ccf591.jpg
"Resmi, Ini Formasi CPNS-PPPK Kemenag, Kemendikbud Ristek, dan Kemenkes 2024",http://www.kompas.com/tren/read/2024/04/02/113000965/resmi-ini-formasi-cpns-pppk-kemenag-kemendikbud-ristek-dan-kemenkes-2024,https://asset.kompas.com/crops/QNQVYZX3LVHck_fzFemsIHctQQ0=/45x0:1392x898/230x153/data/photo/2024/02/13/65cb56dbaddcc.jpg
Daftar Lengkap Lowongan CPNS Dosen Kementerian Agama 2023,http://www.kompas.com/tren/read/2023/09/25/104500665/daftar-lengkap-lowongan-cpns-dosen-kementerian-agama-2023,https://asset.kompas.com/crops/b8RhLcnJ4E8iwv_QqAPpaPeaKBc=/193x0:2065x1248/230x153/data/photo/2023/09/25/6510e9c80c797.png
Link PDF Formasi CPNS dan PPPK Kemenag 2023,http://money.kompas.com/read/2023/09/23/143411826/link-pdf-formasi-cpns-dan-pppk-kemenag-2023,https://asset.kompas.com/crops/nOJ2gs1HCI7m-FSq0iOy37JK7gk=/0x0:750x500/230x153/data/photo/2023/09/23/650e93f877c4f.jpg
"Paling Lambat 26 Agustus, Peserta SKB CPNS Kemenag Harus Unggah Daftar Riwayat Hidup",http://www.kompas.com/tren/read/2020/08/25/114639865/paling-lambat-26-agustus-peserta-skb-cpns-kemenag-harus-unggah-daftar,https://asset.kompas.com/crops/grJxosEz-JxWmC1iuKC7ZYgzpy4=/206x0:1383x784/490x326/data/photo/2020/08/24/5f4396711beaa.png
Update SKB CPNS Kemenag: Peserta Diminta Unggah Sejumlah Dokumen Ini,http://www.kompas.com/tren/read/2020/08/24/175159365/update-skb-cpns-kemenag-peserta-diminta-unggah-sejumlah-dokumen-ini,https://asset.kompas.com/crops/4DSBKDrYGRAVZpATJsG2X9nyAlg=/206x0:1383x784/230x153/data/photo/2020/08/24/5f4396711beaa.png
"Hasil SKD CPNS Kemenag Diumumkan, Simak Informasi Lengkapnya",http://www.kompas.com/tren/read/2020/03/24/090004965/hasil-skd-cpns-kemenag-diumumkan-simak-informasi-lengkapnya,https://asset.kompas.com/crops/GWIPRERkaE5NUS4LZAEKgXB4EmE=/0x2:702x470/230x153/data/photo/2020/03/24/5e79602f154cd.png
"Sempat Pingsan, Peserta Seleksi CPNS Kemenag Sulsel Keukeuh Ikut Ujian",http://regional.kompas.com/read/2020/03/06/22534101/sempat-pingsan-peserta-seleksi-cpns-kemenag-sulsel-keukeuh-ikut-ujian,https://asset.kompas.com/crops/Vxo-rct2Mw8GQrl6nm57l_JKH6M=/0x0:0x0/230x153/data/photo/2020/03/06/5e625b213cc16.jpg
Link Jadwal dan Lokasi Tes SKD CPNS 2019 Kemenag di 34 Provinsi,http://www.kompas.com/tren/read/2020/02/27/063000065/link-jadwal-dan-lokasi-tes-skd-cpns-2019-kemenag-di-34-provinsi,https://asset.kompas.com/crops/WBC8MNZS2Wzq5qMa5TBfQf0qEzs=/2x0:602x400/230x153/data/photo/2019/02/19/4129366184.jpg
