Judul Berita,Link Berita,Link Gambar
detikNews,https://news.detik.com/berita/d-7365511/mensesneg-soal-ramai-iuran-tapera-kementerian-pupr-kemenkeu-akan-jelaskan,https://akcdn.detik.net.id/visual/2021/02/16/mensesneg-pratikno-3_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/infrastruktur/d-7360353/292-pns-kemenkeu-pindah-duluan-ke-ikn-salah-satunya-sekjen,https://akcdn.detik.net.id/visual/2024/05/27/sekjen-kementerian-keuangan-heru-pambudi-1_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/energi/d-7359739/bph-migas-surati-kemenkeu-minta-kuota-bbm-subsidi-buat-2025,https://akcdn.detik.net.id/visual/2024/02/24/bph-migas_43.jpeg?w=250&q=
detikSumbagsel,https://www.detik.com/sumbagsel/berita/d-7359628/pj-wali-kota-palembang-lantik-1-484-pppk-dan-cpns,https://akcdn.detik.net.id/visual/2024/05/27/pj-wali-kota-palembang-lantik-1484-pppk-dan-cpns_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/infrastruktur/d-7366091/airlangga-bakal-pindah-pertama-ke-ikn-bareng-luhut-cs,https://akcdn.detik.net.id/visual/2024/02/03/progres-pembangunan-rumah-menteri-di-ikndok-kementerian-pupr-3_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/bursa-dan-valas/d-7365895/ihsg-bergerak-di-zona-merah-seharian-ditutup-loyo-ke-7-034,https://akcdn.detik.net.id/visual/2020/09/10/perdagangan-ihsg-disetop-usai-anjlok-5_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/cpns/d-7364980/kemenag-buka-110-553-formasi-casn-2024-cek-rinciannya,https://akcdn.detik.net.id/visual/2023/04/19/gedung-kementerian-agama-ri_43.jpeg?w=250&q=
detikEdu,https://www.detik.com/edu/perguruan-tinggi/d-7351798/nadiem-student-loan-masih-butuh-pembahasan-dengan-kemenkeu,https://akcdn.detik.net.id/visual/2023/01/24/mendikbudristek-rapat-kerja-dengan-komisi-x-dpr_43.jpeg?w=250&q=
detikJogja,https://www.detik.com/jogja/bisnis/d-7354656/cpns-2024-kapan-dibuka-cek-jadwal-terbaru-dan-rincian-formasinya,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikSulsel,https://www.detik.com/sulsel/berita/d-7353417/kapan-pembukaan-cpns-2024-ini-jadwal-syarat-hingga-formasinya,https://akcdn.detik.net.id/visual/2023/09/20/ilustrasi-link-pendaftaran-cpns-2023_43.jpeg?w=250&q=
detikJateng,https://www.detik.com/jateng/bisnis/d-7353242/kapan-pendaftaran-cpns-2024-dibuka-cek-info-terbarunya,https://akcdn.detik.net.id/visual/2022/10/17/senangnya-orang-orang-ini-diangkat-jadi-pns-1_43.jpeg?w=250&q=
detikSulsel,https://www.detik.com/sulsel/berita/d-7352247/kapan-pendaftaran-cpns-2024-simak-informasinya-di-sini,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikHealth,https://health.detik.com/berita-detikhealth/d-7365760/wanti-wanti-rokok-ilegal-di-balik-masih-tingginya-prevalensi-perokok-ri,https://akcdn.detik.net.id/visual/2024/05/29/detikcom-leaders-forum-bahas-arah-industri-tembakau-dan-pengaturan-akses-anak-8_43.jpeg?w=250&q=
detikJateng,https://www.detik.com/jateng/berita/d-7365388/35-ucapan-hari-lahir-pancasila-2024-yang-penuh-semangat-dan-inspirasi,https://akcdn.detik.net.id/visual/2024/05/30/hari-lahir-pancasila-4_43.jpeg?w=250&q=
detikJabar,https://www.detik.com/jabar/berita/d-7348859/pemkab-karawang-buka-seleksi-cpns-dan-pppk-ini-formasinya,https://akcdn.detik.net.id/visual/2023/08/20/ilustrasi-lowongan-cpns-dan-pppk_43.jpeg?w=250&q=
detikSumut,https://www.detik.com/sumut/berita/d-7340380/formasi-cpns-kemenag-2024-terbanyak-dalam-sejarah-cpns-kemenag,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikJogja,https://www.detik.com/jogja/bisnis/d-7365079/segini-gaji-ptps-pilkada-2024-apa-saja-tugas-dan-wewenangnya,https://akcdn.detik.net.id/visual/2019/03/25/d7dcb0a7-a2e9-41ff-b30f-52b621fe954c_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/berita-ekonomi-bisnis/d-7344558/persiapkan-talenta-sri-mulyani-beri-pesan-ke-calon-pemimpin-kemenkeu,https://akcdn.detik.net.id/visual/2024/04/28/sri-mulyani-rela-malam-minggu-rapat-di-bea-cukai-gegara-banyak-kasus-viral-2_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/cpns/d-7279306/15-instansi-cpns-sepi-peminat-info-untuk-cpns-2024,https://akcdn.detik.net.id/visual/2023/08/20/ilustrasi-lowongan-cpns-dan-pppk_43.jpeg?w=250&q=
