Judul Berita,Link Berita,Link Gambar
detikBali,https://www.detik.com/bali/nusra/d-7364896/tak-mau-dimutasi-pegawai-rutan-kupang-protes-ke-kemenkumham,https://akcdn.detik.net.id/visual/2024/05/30/sejumlah-pegawai-rutan-kelas-iib-kupang-menggeruduk-kanwil-kemenkumham-ntt-untuk-memprotes-sk-mutasi-kamis-3052024-yufengki-br_43.jpeg?w=250&q=90
20Detik,https://20.detik.com/detikflash/20211021-211021084/apa-jadinya-tes-cpns-rasa-squid-game,https://cdnv.detik.com/videoservice/AdminTV/2021/10/21/1cab0e8cb9084e19ab8de2dcb5a87c30-20211021124933-0s.jpg?w=900
detikJogja,https://www.detik.com/jogja/bisnis/d-6962302/contoh-surat-lamaran-cpns-kemenkumham-2023,https://akcdn.detik.net.id/visual/2021/10/07/cara-membuat-sktm-atau-surat-keterangan-tidak-mampu-lengkap-dan-mudah_43.jpeg?w=250&q=90
detikSumut,https://www.detik.com/sumut/berita/d-6986341/jadwal-masa-sanggah-cpns-kemenkumham-2023-catat-tanggalnya,https://akcdn.detik.net.id/visual/2017/09/06/6f260f0b-5a6e-440d-9f03-4aeb8e12eee6_43.jpg?w=250&q=90
detikSumut,https://www.detik.com/sumut/berita/d-6985155/pengumuman-cpns-kemenkumham-2023-kapan-cek-di-sini-jadwalnya,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=90
Foto Jatim,https://www.detik.com/jatim/foto/d-7038346/petugas-sita-jimat-dari-peserta-tes-cpns-kemenkumham-jatim-di-surabaya,https://akcdn.detik.net.id/community/media/visual/2023/11/15/proses-screening-tes-cpns-di-surabaya-1_169.jpeg?w=200&q=
detikJateng,https://www.detik.com/jateng/bisnis/d-6986577/cara-cek-pengumuman-hasil-seleksi-administrasi-cpns-kemenkumham-2023,https://akcdn.detik.net.id/visual/2023/09/20/ilustrasi-link-pendaftaran-cpns-2023_43.jpeg?w=250&q=90
detikSumut,https://www.detik.com/sumut/berita/d-6937107/cpns-kemenkumham-2023-syarat-link-pendaftaran-dan-formasi,https://akcdn.detik.net.id/visual/2023/08/20/ilustrasi-lowongan-cpns-dan-pppk_43.jpeg?w=250&q=90
detikSulsel,https://www.detik.com/sulsel/berita/d-6933917/contoh-surat-lamaran-cpns-kemenkumham-2023-lengkap-format-siap-pakai,https://akcdn.detik.net.id/visual/2020/01/14/10a6b809-a008-45cc-8b78-21fe9c2c17f5_43.jpeg?w=250&q=90
detikFinance,https://finance.detik.com/cpns/d-6928690/cpns-kemenkumham-2023-formasi-syarat-dan-cara-daftarnya,https://akcdn.detik.net.id/visual/2021/11/19/cpns-kemenkumham_43.jpeg?w=250&q=90
