Judul Berita,Link Berita,Link Gambar
"Bus Study Tour Kecelakaan Beruntun, PO Teledor, Kemenhub Kendor",https://travel.detik.com/travel-news/d-7362641/bus-study-tour-kecelakaan-beruntun-po-teledor-kemenhub-kendor,
"Cara Cek Formasi CPNS Kemenhub 2023, beserta Syarat dan Dokumennya",https://finance.detik.com/cpns/d-6925189/cara-cek-formasi-cpns-kemenhub-2023-beserta-syarat-dan-dokumennya,
"Formasi CPNS Kemenhub 2024 Lengkap Syarat, Jadwal, dan Cara Daftarnya",https://www.detik.com/jateng/bisnis/d-7337101/formasi-cpns-kemenhub-2024-lengkap-syarat-jadwal-dan-cara-daftarnya,
"Link dan Cara Cek Formasi CPNS Kemenhub 2023, Lengkap Syarat dan Jadwalnya",https://www.detik.com/sulsel/berita/d-6929055/link-dan-cara-cek-formasi-cpns-kemenhub-2023-lengkap-syarat-dan-jadwalnya,
Angin Segar dari Kemenhub untuk Operasional Teman Bus Rute Makassar-Gowa,https://www.detik.com/sulsel/makassar/d-7362687/angin-segar-dari-kemenhub-untuk-operasional-teman-bus-rute-makassar-gowa,
BPTD Sulsel Ungkap Usulan Rute Baru Teman Bus Makassar-Gowa ke Kemenhub,https://www.detik.com/sulsel/makassar/d-7362402/bptd-sulsel-ungkap-usulan-rute-baru-teman-bus-makassar-gowa-ke-kemenhub,
Polisi Amankan Buku yang Dibawa Lian,https://news.detik.com/foto-news/d-1613732/polisi-amankan-buku-yang-dibawa-lian,
Pj Wali Kota Palembang Lantik 1.484 PPPK dan CPNS,https://www.detik.com/sumbagsel/berita/d-7359628/pj-wali-kota-palembang-lantik-1-484-pppk-dan-cpns,
Kemenhub Akomodir Usulan Unhas Teman Bus Rute Gowa-Makassar Beroperasi Lagi,https://www.detik.com/sulsel/makassar/d-7361960/kemenhub-akomodir-usulan-unhas-teman-bus-rute-gowa-makassar-beroperasi-lagi,
Menhub Budi: Tinggalkan Budaya Kekerasan di Sekolah Kedinasan Kemenhub!,https://www.detik.com/edu/perguruan-tinggi/d-7359867/menhub-budi-tinggalkan-budaya-kekerasan-di-sekolah-kedinasan-kemenhub,
Formasi CPNS Kemenhub 2023: Ini Syarat dan Jadwal Pendaftarannya,https://www.detik.com/jateng/bisnis/d-6934605/formasi-cpns-kemenhub-2023-ini-syarat-dan-jadwal-pendaftarannya,
"Pendaftaran CPNS Kemenhub 2023: Jadwal, Syarat, dan Formasi",https://www.detik.com/jogja/bisnis/d-6934293/pendaftaran-cpns-kemenhub-2023-jadwal-syarat-dan-formasi,
"Terjadi Lagi Kecelakaan Bus Study Tour Sekolah, Kemenhub Prihatin",https://news.detik.com/berita/d-7357833/terjadi-lagi-kecelakaan-bus-study-tour-sekolah-kemenhub-prihatin,
"Kemenag Buka 110.553 Formasi CASN 2024, Cek Rinciannya!",https://finance.detik.com/cpns/d-7364980/kemenag-buka-110-553-formasi-casn-2024-cek-rinciannya,
"CPNS Kementerian Perhubungan 2023: Jadwal, Formasi, dan Cara Ceknya",https://www.detik.com/sulsel/berita/d-6930099/cpns-kementerian-perhubungan-2023-jadwal-formasi-dan-cara-ceknya,
Cara Cek Link cpns.dephub.go.id Formasi PPPK,https://finance.detik.com/cpns/d-6941341/cara-cek-link-cpns-dephub-go-id-formasi-pppk,
"Tinjau Sekolah Kedinasan Kemenhub, Budi Karya Sosialisasi Reformasi Tradisi",https://news.detik.com/berita/d-7357150/tinjau-sekolah-kedinasan-kemenhub-budi-karya-sosialisasi-reformasi-tradisi,
CPNS 2024 Kapan Dibuka? Cek Jadwal Terbaru dan Rincian Formasinya,https://www.detik.com/jogja/bisnis/d-7354656/cpns-2024-kapan-dibuka-cek-jadwal-terbaru-dan-rincian-formasinya,
"Kapan Pembukaan CPNS 2024? Ini Jadwal, Syarat hingga Formasinya",https://www.detik.com/sulsel/berita/d-7353417/kapan-pembukaan-cpns-2024-ini-jadwal-syarat-hingga-formasinya,
Kapan Pendaftaran CPNS 2024 Dibuka? Cek Info Terbarunya!,https://www.detik.com/jateng/bisnis/d-7353242/kapan-pendaftaran-cpns-2024-dibuka-cek-info-terbarunya,
Kapan Pendaftaran CPNS 2024? Simak Informasinya di Sini!,https://www.detik.com/sulsel/berita/d-7352247/kapan-pendaftaran-cpns-2024-simak-informasinya-di-sini,
"5 Cerita Perjuangan Jemaah Haji Indonesia Bisa Sampai ke Tanah Suci, Bikin Haru",https://www.detik.com/hikmah/haji-dan-umrah/d-7365180/5-cerita-perjuangan-jemaah-haji-indonesia-bisa-sampai-ke-tanah-suci-bikin-haru,
Kemenhub Dukung Penuh KNKT Investigasi Pesawat Jatuh di BSD,https://news.detik.com/detiktv/d-7352021/kemenhub-dukung-penuh-knkt-investigasi-pesawat-jatuh-di-bsd,
"Pemkab Karawang Buka Seleksi CPNS dan PPPK, Ini Formasinya",https://www.detik.com/jabar/berita/d-7348859/pemkab-karawang-buka-seleksi-cpns-dan-pppk-ini-formasinya,
"Formasi CPNS Kemenag 2024, Terbanyak dalam Sejarah CPNS Kemenag",https://www.detik.com/sumut/berita/d-7340380/formasi-cpns-kemenag-2024-terbanyak-dalam-sejarah-cpns-kemenag,
