Judul Berita,Link Berita,Link Gambar
"UPDATE Formasi CPNS-PPPK IKN, Kemenag, Kemenhub, Kemenkes, Kemendikbud, dan Bawaslu 2024",http://www.kompas.com/tren/read/2024/04/19/160000265/update-formasi-cpns-pppk-ikn-kemenag-kemenhub-kemenkes-kemendikbud-dan,https://asset.kompas.com/crops/TP3MGdB0cYIafLT-bYz-tq3WrgE=/83x0:926x562/490x326/data/photo/2023/09/11/64fe8285acaaa.jpg
"Resmi, Ini Formasi CPNS-PPPK Kemenag, Kemendikbud Ristek, dan Kemenkes 2024",http://www.kompas.com/tren/read/2024/04/02/113000965/resmi-ini-formasi-cpns-pppk-kemenag-kemendikbud-ristek-dan-kemenkes-2024,https://asset.kompas.com/crops/QNQVYZX3LVHck_fzFemsIHctQQ0=/45x0:1392x898/230x153/data/photo/2024/02/13/65cb56dbaddcc.jpg
26 Kampus Negeri yang Buka Lowongan Dosen Formasi CPNS dan PPPK 2023,http://www.kompas.com/tren/read/2023/10/04/070000665/26-kampus-negeri-yang-buka-lowongan-dosen-formasi-cpns-dan-pppk-2023,https://asset.kompas.com/crops/woHMZfQDNOnrnbNgVlk1AcRSDHg=/55x0:898x562/230x153/data/photo/2023/09/11/64fe8285acaaa.jpg
"Kemendikbud Ristek Buka 16.102 Formasi CPNS 2023, Simak Syarat dan Cara Daftarnya!",http://www.kompas.com/tren/read/2023/09/29/133000765/kemendikbud-ristek-buka-16.102-formasi-cpns-2023-simak-syarat-dan-cara,https://asset.kompas.com/crops/0_yj_Lr9YpDC5_Io52bq3ALT4Vc=/41x42:804x551/230x153/data/photo/2023/09/29/65164158493a8.png
"Kemendikbud Ristek Umumkan Hasil Akhir CPNS 2021, Segera Cek!",http://www.kompas.com/tren/read/2022/01/21/130000265/kemendikbud-ristek-umumkan-hasil-akhir-cpns-2021-segera-cek-,https://asset.kompas.com/crops/IYlAdsSx2E6tFVZRfjH8uR5kjkU=/83x45:605x393/230x153/data/photo/2021/11/04/61835a3a947f3.jpg
"Update CPNS 2019: 41.000 Orang Lamar CPNS Kemendikbud, Perebutkan 2.196 Formasi",http://www.kompas.com/tren/read/2019/11/30/083459065/update-cpns-2019-41000-orang-lamar-cpns-kemendikbud-perebutkan-2196-formasi,https://asset.kompas.com/crops/3D9cp9oQp26cqqikriXb0NtPoVo=/0x34:960x674/490x326/data/photo/2019/11/21/5dd5d94b17dca.jpg
"Kalau KTP Hilang, Apa Dokumen Penggantinya untuk Lengkapi Berkas CPNS 2019?",http://www.kompas.com/tren/read/2019/11/21/080120965/kalau-ktp-hilang-apa-dokumen-penggantinya-untuk-lengkapi-berkas-cpns-2019,https://asset.kompas.com/crops/35733O63uI9W5pXvlG_KCJbiOMQ=/65x0:910x563/230x153/data/photo/2019/11/21/5dd5de4dd128f.jpg
"CPNS 2019 di Kemendikbud, Ada 1.891 Formasi untuk Dosen",http://www.kompas.com/tren/read/2019/11/21/072044365/cpns-2019-di-kemendikbud-ada-1891-formasi-untuk-dosen,https://asset.kompas.com/crops/gy79x9WqrhCMz_33tYexsEDERmU=/0x34:960x674/230x153/data/photo/2019/11/21/5dd5d94b17dca.jpg
"Faktor Rekonsiliasi Data, Pengumuman CPNS Kemendikbud Diundur",http://money.kompas.com/read/2019/11/19/184100526/faktor-rekonsiliasi-data-pengumuman-cpns-kemendikbud-diundur,https://asset.kompas.com/crops/KBp5imnLuhuxLhRh5JsLitLXwuo=/0x0:1280x853/230x153/data/photo/2019/11/18/5dd238161bd09.jpg
"Lulusan SMK hingga S1, Ini Jadwal Lengkap Seleksi CPNS Kemendikbud 2019",http://edukasi.kompas.com/read/2019/11/14/11314841/lulusan-smk-hingga-s1-ini-jadwal-lengkap-seleksi-cpns-kemendikbud-2019,https://asset.kompas.com/crops/Fz21sWyJ5bX3H6c1s-LDq7oZRW8=/16x0:433x278/230x153/data/photo/2019/11/14/5dccd6f6a97ea.png
