Judul Berita,Link Berita,Link Gambar
"Kemenkes Buka Lowongan 23.200 CPNS & PPPK di 2024, Ini Lengkapnya!",https://www.cnbcindonesia.com/news/20240402094106-4-527371/kemenkes-buka-lowongan-23200-cpns-pppk-di-2024-ini-lengkapnya,https://awsimages.detik.net.id/visual/2023/09/15/stetoskop_43.jpeg?w=152&q=90
"CASN 2024 Dibuka Mei, Ini Cara Daftarnya!",https://www.cnbcindonesia.com/news/20240326070146-4-525349/casn-2024-dibuka-mei-ini-cara-daftarnya,https://awsimages.detik.net.id/visual/2024/03/19/pelaksana-tugas-kepala-badan-kepegawaian-negara-haryomo-dwi-putranto-dalam-konferensi-pers-di-press-room-kementerian-komunikas_43.png?w=152&q=90
"CASN 2024 Dibuka 3 Kali, Catat Jadwal Pendaftarannya!",https://www.cnbcindonesia.com/news/20240320111146-4-523575/casn-2024-dibuka-3-kali-catat-jadwal-pendaftarannya,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-3_43.jpeg?w=152&q=90
"Daftar 39 Sekolah Kedinasan di Indonesia, Bisa Langsung CPNS",https://www.cnbcindonesia.com/lifestyle/20240226094433-33-517506/daftar-39-sekolah-kedinasan-di-indonesia-bisa-langsung-cpns,https://awsimages.detik.net.id/visual/2018/10/18/e3f8192f-082c-46db-abf2-435cde0f96fa_43.jpeg?w=152&q=90
"Siap-siap! 1,6 Juta Lowongan CPNS & PPPK Dibuka September",https://www.cnbcindonesia.com/news/20230724085221-4-456639/siap-siap-16-juta-lowongan-cpns-pppk-dibuka-september,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-8_43.jpeg?w=152&q=90
"Jadwal Rekrutmen CPNS Dijamin Tak Diundur, September 2023!",https://www.cnbcindonesia.com/news/20230713164047-4-454058/jadwal-rekrutmen-cpns-dijamin-tak-diundur-september-2023,https://awsimages.detik.net.id/visual/2020/09/01/tes-cpns-di-tengah-pandemi-cnbc-indonesia-andrean-kristianto-23_43.jpeg?w=152&q=90
Siap-siap! Pemerintah Buka 206.000 CPNS untuk Fresh Graduate,https://www.cnbcindonesia.com/news/20230712064939-4-453451/siap-siap-pemerintah-buka-206000-cpns-untuk-fresh-graduate,https://awsimages.detik.net.id/visual/2023/03/29/press-statement-thr-dan-gaji-13_43.png?w=152&q=90
"Tok! Lowongan CPNS Dibuka September, 20% Jatah Fresh Graduate",https://www.cnbcindonesia.com/news/20230711155254-4-453316/tok-lowongan-cpns-dibuka-september-20-jatah-fresh-graduate,https://awsimages.detik.net.id/visual/2022/01/24/dear-tenaga-honorer-kalian-akan-diangkat-jadi-pns-lho_43.png?w=152&q=90
"Jangan Kelewatan! Lowongan 1,03 Juta CASN Dibuka September",https://www.cnbcindonesia.com/news/20230706100454-4-451804/jangan-kelewatan-lowongan-103-juta-casn-dibuka-september,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-13_43.jpeg?w=152&q=90
Gaji ke-13 Cair! Ingat Dibayar Tak Full 100% & Tak Serentak,https://www.cnbcindonesia.com/news/20230616061623-4-446410/gaji-ke-13-cair-ingat-dibayar-tak-full-100-tak-serentak,https://awsimages.detik.net.id/visual/2021/05/23/infografis-gaji-ke-13-pns-cair-1-juni-cek-besaran-tiap-golonganaristya-rahadian_43.png?w=152&q=90
