Judul Berita,Link Berita,Link Gambar
Jenis dan Jumlah Pekerjaan PNS yang Kena Moratorium,https://www.cnnindonesia.com/ekonomi/20200711172620-536-523574/jenis-dan-jumlah-pekerjaan-pns-yang-kena-moratorium,https://akcdn.detik.net.id/visual/2020/07/11/thumbnail-video-ekopedia-jenis-dan-jumlah-pekerjaan-pns-yang-kena-moratorium_169.jpeg?w=280&q=90
ORI: Pengumuman Kemenkeu soal CPNS Kabur dan Keliru,https://www.cnnindonesia.com/gaya-hidup/20171103203904-282-253379/ori-pengumuman-kemenkeu-soal-cpns-kabur-dan-keliru,https://akcdn.detik.net.id/visual/2017/08/21/084b1a3c-0c99-4b6e-9156-d2c2c5e42e0c_169.jpg?w=280&q=90
Kemenkeu Minta Maaf dan Bakal Umumkan Kelulusan CPNS Tambahan,https://www.cnnindonesia.com/gaya-hidup/20171103201403-282-253371/kemenkeu-minta-maaf-dan-bakal-umumkan-kelulusan-cpns-tambahan,https://akcdn.detik.net.id/visual/2017/09/12/b281260f-094c-4e5f-b2b4-659ccabbf371_169.jpg?w=280&q=90
CPNS Kemenkeu Diajak ke Grup WhatsApp 'Pejuang Transparansi',https://www.cnnindonesia.com/teknologi/20171103114156-192-253206/cpns-kemenkeu-diajak-ke-grup-whatsapp-pejuang-transparansi,https://akcdn.detik.net.id/visual/2017/11/02/86c76f27-e2f3-42ee-862c-67873a3c8aa2_169.jpg?w=280&q=90
"Dugaan Kecurangan CPNS, Ombudsman Panggil Sekjen Kemenkeu",https://www.cnnindonesia.com/gaya-hidup/20171103111324-284-253202/dugaan-kecurangan-cpns-ombudsman-panggil-sekjen-kemenkeu,https://akcdn.detik.net.id/visual/2017/07/31/bb90e273-9602-4680-8576-2d53eadba4fc_169.jpg?w=280&q=90
Kesaksian CPNS dari Medan Soal Kejanggalan Rekrutmen Kemenkeu,https://www.cnnindonesia.com/gaya-hidup/20171102214652-282-253124/kesaksian-cpns-dari-medan-soal-kejanggalan-rekrutmen-kemenkeu,https://akcdn.detik.net.id/visual/2017/09/11/6574f381-ea3a-4b8a-95bf-0295d7ba07a3_169.jpg?w=280&q=90
"Tak Puas Respons Kemenkeu, CPNS Desak Pengumuman Ulang",https://www.cnnindonesia.com/gaya-hidup/20171102165459-282-253054/tak-puas-respons-kemenkeu-cpns-desak-pengumuman-ulang,https://akcdn.detik.net.id/visual/2017/11/02/9761961a-bb07-4f4a-b698-7a924c9c1027_169.jpg?w=280&q=90
"Terkait CPNS, Ombudsman RI Bisa Panggil Pejabat Kemenkeu",https://www.cnnindonesia.com/gaya-hidup/20171102152427-282-253023/terkait-cpns-ombudsman-ri-bisa-panggil-pejabat-kemenkeu,https://akcdn.detik.net.id/visual/2017/11/02/6200c4a7-0881-48b4-bf9c-390a323cc712_169.jpg?w=280&q=90
BKN Akui Data 275 CPNS Kemenkeu di Medan 'Tercecer',https://www.cnnindonesia.com/gaya-hidup/20171102143312-282-253015/bkn-akui-data-275-cpns-kemenkeu-di-medan-tercecer,https://akcdn.detik.net.id/visual/2017/11/02/a3520b73-daa3-4704-9ae4-f248f4432cee_169.jpg?w=280&q=90
"Hasil Rekrutmen CPNS, Kemenkeu 'Berlindung' di Balik Data BKN",https://www.cnnindonesia.com/ekonomi/20171102120720-78-252957/hasil-rekrutmen-cpns-kemenkeu-berlindung-di-balik-data-bkn,https://akcdn.detik.net.id/visual/2017/09/12/3a9c0e1f-8728-47c9-8309-b61fe287043c_169.jpg?w=280&q=90
400 Brand Kecantikan Ramaikan Jakarta X Beauty 2024,https://www.cnnindonesia.com/gaya-hidup/20240530164017-277-1103882/400-brand-kecantikan-ramaikan-jakarta-x-beauty-2024,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-produk-kecantikan_169.jpeg?w=230&q=90
