Judul Berita,Link Berita,Link Gambar
detikSumbagsel,https://www.detik.com/sumbagsel/berita/d-7359628/pj-wali-kota-palembang-lantik-1-484-pppk-dan-cpns,https://akcdn.detik.net.id/visual/2024/05/27/pj-wali-kota-palembang-lantik-1484-pppk-dan-cpns_43.jpeg?w=250&q=
detikNews,https://news.detik.com/berita/d-7352212/tekan-stunting-kemenkominfo-ajak-generasi-muda-konsumsi-gizi-seimbang,https://akcdn.detik.net.id/visual/2024/05/22/kemkominfo_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/cpns/d-7364980/kemenag-buka-110-553-formasi-casn-2024-cek-rinciannya,https://akcdn.detik.net.id/visual/2023/04/19/gedung-kementerian-agama-ri_43.jpeg?w=250&q=
detikInet,https://inet.detik.com/news/d-7365563/unesco-dukung-ri-jadi-tuan-rumah-global-forum-on-the-ethics-of-ai-2025,https://akcdn.detik.net.id/visual/2024/05/30/kemenkominfo_43.jpeg?w=250&q=
detikJogja,https://www.detik.com/jogja/bisnis/d-7354656/cpns-2024-kapan-dibuka-cek-jadwal-terbaru-dan-rincian-formasinya,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikSulsel,https://www.detik.com/sulsel/berita/d-7353417/kapan-pembukaan-cpns-2024-ini-jadwal-syarat-hingga-formasinya,https://akcdn.detik.net.id/visual/2023/09/20/ilustrasi-link-pendaftaran-cpns-2023_43.jpeg?w=250&q=
detikJateng,https://www.detik.com/jateng/bisnis/d-7353242/kapan-pendaftaran-cpns-2024-dibuka-cek-info-terbarunya,https://akcdn.detik.net.id/visual/2022/10/17/senangnya-orang-orang-ini-diangkat-jadi-pns-1_43.jpeg?w=250&q=
detikSulsel,https://www.detik.com/sulsel/berita/d-7352247/kapan-pendaftaran-cpns-2024-simak-informasinya-di-sini,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikNews,https://news.detik.com/detiktv/d-7182513/sambut-imlek-kemenkominfo-rilis-prangko-naga,https://akcdn.detik.net.id/visual/2024/02/06/prangko-edisi-imlek-2024_43.jpeg?w=250&q=
detikInet,https://inet.detik.com/detiktv/d-7307167/kemenkominfo-buka-peluang-blokir-game-yang-mengandung-kekerasan,https://akcdn.detik.net.id/visual/2024/04/23/menkominfo_43.jpeg?w=250&q=
detikJabar,https://www.detik.com/jabar/berita/d-7348859/pemkab-karawang-buka-seleksi-cpns-dan-pppk-ini-formasinya,https://akcdn.detik.net.id/visual/2023/08/20/ilustrasi-lowongan-cpns-dan-pppk_43.jpeg?w=250&q=
detikSumut,https://www.detik.com/sumut/berita/d-7340380/formasi-cpns-kemenag-2024-terbanyak-dalam-sejarah-cpns-kemenag,https://akcdn.detik.net.id/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=
detikJabar,https://www.detik.com/jabar/berita/d-7078396/pemkot-bandung-raih-penghargaan-dari-kemenkominfo,https://akcdn.detik.net.id/visual/2023/12/08/pemkot-bandung-meraih-penghargaan-smart-government-dan-smart-society-dari-kementerian-komunikasi-dan-informatika-kemenkominfo_43.jpeg?w=250&q=
detikFinance,https://finance.detik.com/cpns/d-7279306/15-instansi-cpns-sepi-peminat-info-untuk-cpns-2024,https://akcdn.detik.net.id/visual/2023/08/20/ilustrasi-lowongan-cpns-dan-pppk_43.jpeg?w=250&q=
detikJogja,https://www.detik.com/jogja/bisnis/d-7053076/kemenkominfo-beberkan-penyebab-beberapa-daerah-susah-sinyal,https://akcdn.detik.net.id/visual/2016/03/11/61d472ca-3d4b-4b78-9660-768573475b05_43.jpg?w=250&q=
detikJogja,https://www.detik.com/jogja/berita/d-7051474/kemenkominfo-take-down-judi-online-pilpres-2024,https://akcdn.detik.net.id/visual/2023/03/21/judi-online_43.jpeg?w=250&q=
detikNews,https://news.detik.com/detiktv/d-7180299/kemenkominfo-takedown-1-730-dari-2-907-hoax-terkait-pemilu-2024,https://akcdn.detik.net.id/visual/2024/02/06/menkominfo-budi-arie-setiadi-2_43.jpeg?w=250&q=
detikBali,https://www.detik.com/bali/berita/d-7171604/pemilih-cerdas-menurut-kemenkominfo-di-demiindonesia-cerdas-memilih,https://akcdn.detik.net.id/visual/2024/02/01/staf-ahli-menkominfo-r-wijaya-kusumawardhana_43.jpeg?w=250&q=
detikHikmah,https://www.detik.com/hikmah/haji-dan-umrah/d-7365180/5-cerita-perjuangan-jemaah-haji-indonesia-bisa-sampai-ke-tanah-suci-bikin-haru,https://akcdn.detik.net.id/visual/2024/05/24/kisah-penjual-pisang-yang-nabung-sejak-1986-naik-haji-tahun-ini_43.jpeg?w=250&q=
detikJatim,https://www.detik.com/jatim/berita/d-6989272/syarat-dan-jadwal-beasiswa-kemitraan-s2-kemenkominfo,https://akcdn.detik.net.id/visual/2022/01/29/ilustrasi-lulus-kuliah-wisuda-pendidikan-beasiswa_43.jpeg?w=250&q=
detikJateng,https://www.detik.com/jateng/bisnis/d-7365972/syarat-dan-ketentuan-kredit-rumah-tapera-ini-jenis-program-dokumennya,https://akcdn.detik.net.id/visual/2018/02/19/4a8a921c-8c63-4904-bc9a-b7331640c541_43.jpeg?w=250&q=
