Judul Berita,Link Berita,Link Gambar
"Cara Masuk STAN, Kuliah Gratis Lulusan Jadi CPNS Kemenkeu hingga Pemda",http://www.kompas.com/edu/read/2022/12/01/162723471/cara-masuk-stan-kuliah-gratis-lulusan-jadi-cpns-kemenkeu-hingga-pemda,https://asset.kompas.com/crops/kZYGWuyHl9odlLjzwGK-2wqzxiw=/0x280:1080x1000/490x326/data/photo/2022/08/18/62fdf071e0c39.jpeg
Ini Link Pengumuman Hasil Seleksi CPNS 2019 Kementerian Keuangan,http://www.kompas.com/tren/read/2020/10/31/123539465/ini-link-pengumuman-hasil-seleksi-cpns-2019-kementerian-keuangan,https://asset.kompas.com/crops/gZUnfcG98ein4ExzW9ALu0Jhy5k=/0x0:685x457/230x153/data/photo/2020/10/31/5f9ceb463ca9e.png
Ini Jadwal dan Lokasi SKB CPNS Kemenkeu,http://www.kompas.com/tren/read/2020/08/21/080000165/ini-jadwal-dan-lokasi-skb-cpns-kemenkeu,https://asset.kompas.com/crops/fS3_wq81yxiug3vRR4HOSQf_uK0=/0x0:449x299/230x153/data/photo/2020/03/24/5e79374c4e110.png
[POPULER MONEY] Jiwasraya Akan Ditutup | Rekrutmen CPNS Kemenkeu Dihentikan Sementara,http://money.kompas.com/read/2020/07/09/060800526/-populer-money-jiwasraya-akan-ditutup-rekrutmen-cpns-kemenkeu-dihentikan,https://asset.kompas.com/crops/6bIt8kAJaIpipGdD45G0eJdUO_I=/83x0:769x457/230x153/data/photo/2018/11/06/3521060498.JPG
Kemenkeu Hentikan Sementara Rekrutmen CPNS dan Mahasiswa STAN,http://money.kompas.com/read/2020/07/08/100810926/kemenkeu-hentikan-sementara-rekrutmen-cpns-dan-mahasiswa-stan,https://asset.kompas.com/crops/O6Sp43ZplGmfWm1tdbgNffyLBGU=/96x11:924x563/230x153/data/photo/2017/04/17/195274571.jpg
"Kemenkes Buka Lowongan 23.200 CPNS & PPPK di 2024, Ini Lengkapnya!",https://www.cnbcindonesia.com/news/20240402094106-4-527371/kemenkes-buka-lowongan-23200-cpns-pppk-di-2024-ini-lengkapnya,https://awsimages.detik.net.id/visual/2023/09/15/stetoskop_43.jpeg?w=152&q=90
"CASN 2024 Dibuka Mei, Ini Cara Daftarnya!",https://www.cnbcindonesia.com/news/20240326070146-4-525349/casn-2024-dibuka-mei-ini-cara-daftarnya,https://awsimages.detik.net.id/visual/2024/03/19/pelaksana-tugas-kepala-badan-kepegawaian-negara-haryomo-dwi-putranto-dalam-konferensi-pers-di-press-room-kementerian-komunikas_43.png?w=152&q=90
"CASN 2024 Dibuka 3 Kali, Catat Jadwal Pendaftarannya!",https://www.cnbcindonesia.com/news/20240320111146-4-523575/casn-2024-dibuka-3-kali-catat-jadwal-pendaftarannya,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-3_43.jpeg?w=152&q=90
"Daftar 39 Sekolah Kedinasan di Indonesia, Bisa Langsung CPNS",https://www.cnbcindonesia.com/lifestyle/20240226094433-33-517506/daftar-39-sekolah-kedinasan-di-indonesia-bisa-langsung-cpns,https://awsimages.detik.net.id/visual/2018/10/18/e3f8192f-082c-46db-abf2-435cde0f96fa_43.jpeg?w=152&q=90
"Siap-siap! 1,6 Juta Lowongan CPNS & PPPK Dibuka September",https://www.cnbcindonesia.com/news/20230724085221-4-456639/siap-siap-16-juta-lowongan-cpns-pppk-dibuka-september,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-8_43.jpeg?w=152&q=90
