Judul Berita,Link Berita,Link Gambar
"Terbaru, 40.839 Lowongan Kerja untuk PPPK dan CASN Kemensos 2024",http://www.kompas.com/tren/read/2024/04/20/093000765/terbaru-40.839-lowongan-kerja-untuk-pppk-dan-casn-kemensos-2024,https://asset.kompas.com/crops/XSaMFw3p_-yrqFKlB1ZRgRWnLMs=/0x0:1279x853/490x326/data/photo/2024/04/13/661a3b3ab15a5.jpg
"Link Pendaftaran CPNS, Formasi, Syarat, dan Jadwalnya",https://www.cnbcindonesia.com/tech/20240518081848-37-539227/link-pendaftaran-cpns-formasi-syarat-dan-jadwalnya,https://awsimages.detik.net.id/visual/2023/10/10/pendaftaran-cpns-diperpanjang-ini-5-instansi-sepi-peminat_43.jpeg?w=152&q=90
"7 Lembaga Ini Buka Formasi Jumbo CPNS, Cek Cara Daftarnya",https://www.cnbcindonesia.com/news/20240513092412-4-537502/7-lembaga-ini-buka-formasi-jumbo-cpns-cek-cara-daftarnya,https://awsimages.detik.net.id/visual/2024/04/02/menteri-panrb-abdullah-azwar-anas-menghimbau-untuk-semua-asn-tidak-menggunakan-kendaraan-dinas-untuk-mudik_43.png?w=152&q=90
"Lowongan CPNS 2024 Dibuka Mei Ini, Cek Syarat dan Link Pendaftaran",https://www.cnbcindonesia.com/news/20240511134209-4-537245/lowongan-cpns-2024-dibuka-mei-ini-cek-syarat-dan-link-pendaftaran,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns_43.jpeg?w=152&q=90
"Link Pendaftaran CPNS 2024, Jadwal dan Formasi",https://www.cnbcindonesia.com/tech/20240508132533-37-536697/link-pendaftaran-cpns-2024-jadwal-dan-formasi,https://awsimages.detik.net.id/visual/2023/11/09/pelaksanaan-tes-seleksi-kompetensi-dasar-skd-calon-pegawai-negeri-sipil-cpns-mulai-dilaksanakan-hari-ini-kamis-9112023-salah-s_43.jpeg?w=152&q=90
"Catat! Ini Syarat, Jadwal, Formasi dan Link Pendaftaran CPNS 2024",https://www.cnbcindonesia.com/tech/20240504173155-37-535759/catat-ini-syarat-jadwal-formasi-dan-link-pendaftaran-cpns-2024,https://awsimages.detik.net.id/visual/2023/08/29/lengkap-formasi-syarat-cara-daftar-cpns-pppk-2023-1_43.jpeg?w=152&q=90
"Link Pendaftaran CPNS 2024, Cek Jadwal, Formasi, dan Syaratnya!",https://www.cnbcindonesia.com/tech/20240503103419-37-535470/link-pendaftaran-cpns-2024-cek-jadwal-formasi-dan-syaratnya,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-13_43.jpeg?w=152&q=90
Terbaru! Formasi CPNS & PPPK 2024 di 7 Kementerian,https://www.cnbcindonesia.com/news/20240425060824-4-533212/terbaru-formasi-cpns-pppk-2024-di-7-kementerian,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120_43.jpeg?w=152&q=90
CASN 2024: Ini 7 Instansi yang Buka Lowongan CPNS & PPPK,https://www.cnbcindonesia.com/news/20240422062214-4-532076/casn-2024-ini-7-instansi-yang-buka-lowongan-cpns-pppk,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-11_43.jpeg?w=152&q=90
Wah! 3 Kementerian Ini Buka Formasi CASN Terbesar di 2024,https://www.cnbcindonesia.com/news/20240421105729-4-531985/wah-3-kementerian-ini-buka-formasi-casn-terbesar-di-2024,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-16_43.jpeg?w=152&q=90
Terbaru! Kemensos Buka 40.839 Formasi PPAK di CASN 2024,https://www.cnbcindonesia.com/news/20240419135003-4-531686/terbaru-kemensos-buka-40839-formasi-ppak-di-casn-2024,https://awsimages.detik.net.id/visual/2023/05/24/menteri-sosial-tri-rismaharini-saat-memberi-keterangan-pers-di-gedung-kementerian-sosial-ri-jakarta-rabu-245-kementerian-sosia-7_43.jpeg?w=152&q=90
Mau Kerja Dekat Jokowi atau Sri Mulyani? Ini Syaratnya,https://www.cnbcindonesia.com/news/20191117164611-4-115849/mau-kerja-dekat-jokowi-atau-sri-mulyani-ini-syaratnya,https://awsimages.detik.net.id/visual/2019/10/07/84110bb2-0a72-467f-ad99-e5f4df1a5ca4_43.jpeg?w=152&q=90
