Judul Berita,Link Berita,Link Gambar,themes,recommendation
Terbaru! Formasi CPNS & PPPK 2024 di 7 Kementerian,https://www.cnbcindonesia.com/news/20240425060824-4-533212/terbaru-formasi-cpns-pppk-2024-di-7-kementerian,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Terbaru! Kemensos Buka 40.839 Formasi PPAK di CASN 2024,https://www.cnbcindonesia.com/news/20240419135003-4-531686/terbaru-kemensos-buka-40839-formasi-ppak-di-casn-2024,https://awsimages.detik.net.id/visual/2023/05/24/menteri-sosial-tri-rismaharini-saat-memberi-keterangan-pers-di-gedung-kementerian-sosial-ri-jakarta-rabu-245-kementerian-sosia-7_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Lowongan CPNS 2024 Dibuka Mei Ini, Cek Syarat dan Link Pendaftaran",https://www.cnbcindonesia.com/news/20240511134209-4-537245/lowongan-cpns-2024-dibuka-mei-ini-cek-syarat-dan-link-pendaftaran,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Kemensos Buka 117 Lowongan CPNS, Catat Nih Syaratnya",https://finance.detik.com/cpns/d-4781253/kemensos-buka-117-lowongan-cpns-catat-nih-syaratnya,https://akcdn.detik.net.id/community/media/visual/2016/09/26/5dbc7eb9-5505-42af-b30e-378368a33906_43.jpg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
CASN 2024: Ini 7 Instansi yang Buka Lowongan CPNS & PPPK,https://www.cnbcindonesia.com/news/20240422062214-4-532076/casn-2024-ini-7-instansi-yang-buka-lowongan-cpns-pppk,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-11_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Mau Kerja Dekat Jokowi atau Sri Mulyani? Ini Syaratnya,https://www.cnbcindonesia.com/news/20191117164611-4-115849/mau-kerja-dekat-jokowi-atau-sri-mulyani-ini-syaratnya,https://awsimages.detik.net.id/visual/2019/10/07/84110bb2-0a72-467f-ad99-e5f4df1a5ca4_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Daftar Nama yang Lulus SKD CPNS di Kemensos,https://finance.detik.com/loker/d-4329980/daftar-nama-yang-lulus-skd-cpns-di-kemensos,https://akcdn.detik.net.id/community/media/visual/2018/11/03/65bdb3f1-2e74-4832-b1f4-d0501ca8b1fb_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Kemensos Buka Lowongan untuk Pendamping PKH 2019,https://finance.detik.com/loker/d-4457348/kemensos-buka-lowongan-untuk-pendamping-pkh-2019,https://akcdn.detik.net.id/community/media/visual/2018/03/08/2ffc9004-70ec-4f7b-877d-89a52e4da94e_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Nih Daftar Formasi CPNS & PPPK di Kementerian, Kemenag Buka Paling Banyak!",https://finance.detik.com/cpns/d-7302820/nih-daftar-formasi-cpns-pppk-di-kementerian-kemenag-buka-paling-banyak,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Catat! Ini Syarat, Jadwal, Formasi dan Link Pendaftaran CPNS 2024",https://www.cnbcindonesia.com/tech/20240504173155-37-535759/catat-ini-syarat-jadwal-formasi-dan-link-pendaftaran-cpns-2024,https://awsimages.detik.net.id/visual/2023/08/29/lengkap-formasi-syarat-cara-daftar-cpns-pppk-2023-1_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
